teamid,uploads_last_7_days,uploads_last_14_days,uploads_last_30_days,uploads_last_60_days,uploads_last_90_days,uploads_last_365_days,users_watching_video_last_7_days,users_watching_video_last_14_days,users_watching_video_last_30_days,users_watching_video_last_60_days,users_watching_video_last_90_days,users_watching_video_last_365_days
06a8728ad70c4ba4d298650d6f68d62c,6,10,31,51,51,64,5,5,6,7,8,10
06a9a70f54882c59fbb45a2e3355579f,0,0,0,0,0,3,0,0,0,0,2,9
06addf9157adc54bf92432c18a3a18fb,2,2,3,6,6,6,0,0,0,1,1,1
06b251a88ea36eafa9f3dcc91657628f,10,17,42,66,66,83,2,5,5,11,11,15
06b4c7d3007398a693b3a4eee7262c9e,3,7,18,40,42,59,8,9,14,15,15,17
06c9a09edab8c0ccc4092e96d0ec8eae,3,4,15,25,34,50,2,2,4,9,9,15
06d1b22dd1fb2c6da671550b3b22584b,0,0,1,1,1,1,0,0,0,0,1,3
06d2bff77eb0c7a5b0391754247bbb20,4,11,28,54,55,102,5,6,8,15,15,19
06e480b83077006c8ccefcdf8fc94047,0,0,0,8,15,26,0,0,0,1,1,1
06f06d760cd520af40d8257a692d60e0,1,5,11,16,16,23,5,6,6,11,11,14
06f47a116124d10f9532b51d6646f9f4,4,6,13,30,43,55,1,6,6,10,13,15
06f600d8cb1778dd0f3c17d2dcdba214,3,7,15,33,47,54,2,2,2,12,12,14
07019e6f832a9b31a8fa4c54db0b4bb7,1,3,4,8,8,10,4,5,5,11,11,19
0709cb69c10267628725bff82d213528,3,11,22,33,33,33,7,7,9,14,14,14
070ef5b8d02c5f1c3211042dfe86c61d,2,4,8,16,16,16,1,2,3,5,5,5
07103b66fc0f4394c9fa4420f8b51c47,0,0,0,0,0,0,0,0,0,0,0,1
071b871dd9ca59d50f29dd919fcb5c21,2,6,19,50,54,59,1,5,7,15,17,22
071deb5fc771a54dfd83d9f2ac9935d0,0,0,0,3,3,8,0,0,0,1,1,3
0722fdacb53d063898a56239c199fef5,2,9,19,35,38,54,2,2,3,9,9,15
07306f9c511e99fed8ce04ffbd376e4b,0,0,0,0,0,0,0,0,0,0,0,4
07364ba74158c5b1a017b37b46bbcc02,2,8,14,27,29,38,5,9,11,16,17,28
0739a03c3c18165f1885ef515be0d964,0,0,0,0,0,3,0,0,0,0,0,1
073cf27f1d507a9f14d658f45f5ac04b,4,8,13,21,21,36,3,4,4,9,10,11
073f8d5c50ee4c88bee58aa48ae90163,15,29,49,85,93,120,12,18,21,28,30,39
0741f2fd66a7308829bf4ad53232a56e,10,16,32,107,111,120,5,6,11,11,11,15
0743832ad29f3a3ee0f01243aabbc3b8,0,3,18,34,34,37,0,3,5,8,8,8
074793a29e763bf44c129f41b4c11019,16,22,34,57,57,122,9,11,11,15,15,25
07532bb8bd0171f0fa684ff1f4f7debf,5,8,16,33,37,48,6,8,8,17,17,22
076ace62171379b613d469efd2662b6d,1,2,4,11,11,14,4,5,9,14,14,17
0773428d6fbbd0eeb4cf5b840617a198,3,5,11,18,18,24,2,7,9,10,11,14
077dde3ce51dd4d14fc2e28e817950de,6,14,23,53,61,62,2,3,5,9,10,11
07812344c13543b95ad8f4a2e7c3fabd,7,11,16,39,47,56,6,11,13,17,18,19
078cca5ac533b07afe4d7a5ee0d135ff,0,0,0,0,0,15,0,0,2,9,10,19
0794f356fadc2321cbc10d0343086182,3,4,7,15,15,19,7,7,7,12,13,17
079875e322fb509084fdb838b8cb2ce2,7,10,18,28,28,40,9,12,15,15,16,26
079d0c4a23d055f4afcfecb6f55cf8f9,2,4,7,24,38,42,2,2,3,13,13,14
07a09583bb41fc5bb599299eca9a2fac,4,6,10,17,24,25,6,8,9,12,14,17
07a12f77a5356b37917f92e2e6b4d661,1,2,3,9,9,9,0,0,0,8,8,8
07a4a6d3cb4d15cc5e2fee55a1074f0b,4,13,24,45,49,61,11,12,12,15,18,21
07aa71f1165daadfe33fcfac8fb8915d,0,0,0,0,0,20,0,0,0,0,3,14
07ac133e2a3bed56782db04e50fe8835,0,0,0,0,0,1,0,0,0,0,0,3
07bebe11d855e84b702360749fcbc9b9,2,5,14,35,54,54,4,5,8,14,14,14
